Year;Month;Day;match;home_team;away_team;home_score;away_score;tournament;city;country;latitude;longitude;neutral;Winner;Loser;SG;Brasil
1930;7;13;Belgium 0 x 3 United States;Belgium;United States;0;3;FIFA World Cup;Montevideo;Uruguay;;;TRUE;United States;Belgium;3;#N/D
1930;7;13;France 4 x 1 Mexico;France;Mexico;4;1;FIFA World Cup;Montevideo;Uruguay;;;TRUE;France;Mexico;3;#N/D
1930;7;14;Brazil 1 x 2 Yugoslavia;Brazil;Yugoslavia;1;2;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Yugoslavia;Brazil;1;BR
1930;7;14;Peru 1 x 3 Romania;Peru;Romania;1;3;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Romania;Peru;2;#N/D
1930;7;15;Argentina 1 x 0 France;Argentina;France;1;0;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Argentina;France;1;#N/D
1930;7;16;Chile 3 x 0 Mexico;Chile;Mexico;3;0;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Chile;Mexico;3;#N/D
1930;7;17;Bolivia 0 x 4 Yugoslavia;Bolivia;Yugoslavia;0;4;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Yugoslavia;Bolivia;4;#N/D
1930;7;17;Paraguay 0 x 3 United States;Paraguay;United States;0;3;FIFA World Cup;Montevideo;Uruguay;;;TRUE;United States;Paraguay;3;#N/D
1930;7;18;Uruguay 1 x 0 Peru;Uruguay;Peru;1;0;FIFA World Cup;Montevideo;Uruguay;;;FALSE;Uruguay;Peru;1;#N/D
1930;7;19;Argentina 6 x 3 Mexico;Argentina;Mexico;6;3;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Argentina;Mexico;3;#N/D
1930;7;19;Chile 1 x 0 France;Chile;France;1;0;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Chile;France;1;#N/D
1930;7;20;Belgium 0 x 1 Paraguay;Belgium;Paraguay;0;1;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Paraguay;Belgium;1;#N/D
1930;7;20;Bolivia 0 x 4 Brazil;Bolivia;Brazil;0;4;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Brazil;Bolivia;4;BR
1930;7;21;Uruguay 4 x 0 Romania;Uruguay;Romania;4;0;FIFA World Cup;Montevideo;Uruguay;;;FALSE;Uruguay;Romania;4;#N/D
